-----------------./model/TEPCAM_EPI_6_100_1e4.pt--------------
ACC,0.524
AUC,0.583
AUPR,0.745
Recall,0.953
Precision,0.513
F1,0.667
-----------------./model/TEPCAM_EPI_3_30_5e4.pt--------------
ACC,0.542
AUC,0.579
AUPR,0.714
Recall,0.799
Precision,0.528
F1,0.636
-----------------./model/TEPCAM_EPI_3_50_1e4.pt--------------
ACC,0.535
AUC,0.574
AUPR,0.731
Recall,0.880
Precision,0.521
F1,0.655
-----------------./model/TEPCAM_TCR_6_100_1e4.pt--------------
ACC,0.586
AUC,0.644
AUPR,0.734
Recall,0.817
Precision,0.558
F1,0.664
-----------------./model/TEPCAM_TCR_3_30_5e4.pt--------------
ACC,0.567
AUC,0.613
AUPR,0.723
Recall,0.802
Precision,0.545
F1,0.649
-----------------./model/TEPCAM_TCR_3_50_1e4.pt--------------
ACC,0.553
AUC,0.599
AUPR,0.731
Recall,0.857
Precision,0.533
F1,0.657
